businessID,category
Tkd1XoIUPa4wor8LN7Cfgw,chinese
6uPtOyrxXV8y1y8pvLU2pA,chinese
S0CYlCpjRfq13k2qz06DHw,chinese
DjLxykRuP8OFtGtPPZpfdQ,chinese
5u4T6-Z-KhHrRZ9g54pugQ,chinese
m1sfDqgDiKKyUaXo9DWVeQ,chinese
uXtaduMyk2oGdnHYR4ZafA,chinese
QGldR7s9_qV_35iGtkcNyA,chinese
kHlYnhMOoMBbe3VCZflpKQ,chinese
AImhpHnwq_1qJeopUzdohA,chinese
HVZ4E2yL-k37oC4ayiubbQ,chinese
24p-MWh8_jZWLZnR9X2NgQ,chinese
YJxB9qaUZmJ4BmbqK9BDgw,chinese
_7rU61c3WTVfPS_-FNup8g,chinese
Y5NjZuIkWnV-ntd7BeUjzg,chinese
ZRzSjuR2MA3-2Ay3VTzXXQ,chinese
cwC12KMeodZZRr2ChksBNw,chinese
kEeGDZtrEqKKyl-s8rqKCg,chinese
2tR7d61tBGNlGaJRYvrN0Q,chinese
DkmeAg0lNOTI8SKltDsd_w,chinese
osnb51lPIHxUKRlcg7idwA,chinese
bgnM6uy66zupYzb4QdL3vA,chinese
OXTcpNk9ZXuOxPnjpcSs7w,chinese
dn8_HgoGUE4IFzwPI6GeLA,chinese
2rqb2T5IS2D7A6UB5QwNKw,chinese
k8GFfCXO2FIIJIo0ICYSRA,chinese
8t1RC4e6pCyGZXCUm91XQg,chinese
MzA6gitJKqfW4VrdS7AiQw,chinese
6gE9N5wD4K-bbmSEBm7Lhw,chinese
GzY2EjCmGNgvRd7IE20fTA,chinese
6LfskUyZzmcDSV6h5kOwGw,chinese
utVNm8OfDl_H154lMlcMlA,chinese
mEi57As_Gwyt1F73V2x__A,chinese
x3_DaW2lWCNovheuZV_nAw,chinese
vbL4Ef8zf4dmdR9Gyl5lkw,chinese
PKkCtyZQpVEzivSF41ZgIw,chinese
w0pDi_iMZd5MqYQ7t5q1dQ,chinese
D_f5cnBPDUueO-CCYHtwPw,chinese
UNyGz06_7RendbswIyNYtA,chinese
K9euk0JiVwAkp8x5wwaqSA,chinese
-s1Fy63x2h4VTW_9jGZWsg,chinese
yVI01P3ApyLlkqtOfgki7A,chinese
yVDNPV0Yf3vQAsXTJett1g,chinese
lCYMi_3nM_SAaigIjl3uGA,chinese
lmiwPS9tl3cyMDGDeVstqQ,chinese
DKXE-uRW-T3SvCsAEyvmqw,chinese
VTNMeipIiyRRenXcRBedpg,chinese
ZybTcEwBUeQqiiyyBpoiPQ,chinese
K0qsGnFv-edPDqVBdLCocQ,chinese
Qsc2DrX3IR-uGfwnUlOzcA,chinese
